Дата,Нед,Тип юнита,Рубрика/Кластер,Формат,Сегмент,Тема,Хук / Содержание,Структура (атом),CTA,Статус
2026-11-06,16,TG-пост,Карусель-доказательство,,,Карусель-доказательство,,Карусель «Канал как отдел продаж: механика» + честная пометка про модельные расчёты (до реальных кейсов),Стартовый набор TG-канала,
2026-11-07,16,TG-пост,Дайджест + магнит,,,Дайджест + магнит,,Итоги недели: 3 главных мысли одной строкой + лид-магнит недели «Стартовый набор TG-канала бизнеса»,Магнит в боте,
2026-11-08,16,TG-пост,Интерактив,,,Интерактив,,Опрос по теме следующей недели ИЛИ «спроси меня»: собираем боли в комментарии (топливо для контента),Комментарии,
2026-11-09,17,TG-пост,Карусель + разбор,,,Карусель + разбор,,"Карусель «Маркетинг-бюджет от цели, не от остатка». Подводка 3-4 строки: боль недели своими словами + личное наблюдение. Вопрос в конец: «у вас так?»",Шаблон бюджета в боте,
2026-11-10,17,TG-пост,Цифра дня,,,Цифра дня,,Одна цифра из research по теме недели (Gartner/RSBI) + 2 строки интерпретации «что это значит для тебя» + short дня,Переход в бот,
2026-11-11,17,TG-пост,Инструмент,,,Инструмент,,"Карусель «Ты тратишь вдвое больше нормы. Или вдвое меньше» + текстовая версия шагов списком (для тех, кто не листает)",AI-аудит утечек,
2026-11-12,17,TG-пост,Разбор/закулисье,,,Разбор/закулисье,,"Мини-разбор по теме недели: скрин/пример + что не так + как надо. Формат «заметка на полях», 6-8 строк",Вопросы в комментарии,
2026-11-13,17,TG-пост,Карусель-доказательство,,,Карусель-доказательство,,Карусель «Что режут первым в 2027 - и что нельзя» + честная пометка про модельные расчёты (до реальных кейсов),Шаблон бюджета на год,
2026-11-14,17,TG-пост,Дайджест + магнит,,,Дайджест + магнит,,Итоги недели: 3 главных мысли одной строкой + лид-магнит недели «Шаблон маркетинг-бюджета на год»,Магнит в боте,
2026-11-15,17,TG-пост,Интерактив,,,Интерактив,,Опрос по теме следующей недели ИЛИ «спроси меня»: собираем боли в комментарии (топливо для контента),Комментарии,
2026-11-16,18,TG-пост,Карусель + разбор,,,Карусель + разбор,,Карусель «Один негативный отзыв против твоего молчания». Подводка 3-4 строки: боль недели своими словами + личное наблюдение. Вопрос в конец: «у вас так?»,Сценарий бота-сборщика,
2026-11-17,18,TG-пост,Цифра дня,,,Цифра дня,,Одна цифра из research по теме недели (механика доверия) + 2 строки интерпретации «что это значит для тебя» + short дня,Переход в бот,
2026-11-18,18,TG-пост,Инструмент,,,Инструмент,,"Карусель «Как просить отзыв, чтобы давали» + текстовая версия шагов списком (для тех, кто не листает)",Скрипты в боте,
2026-11-19,18,TG-пост,Разбор/закулисье,,,Разбор/закулисье,,"Мини-разбор по теме недели: скрин/пример + что не так + как надо. Формат «заметка на полях», 6-8 строк",Вопросы в комментарии,
2026-11-20,18,TG-пост,Карусель-доказательство,,,Карусель-доказательство,,Карусель «100 отзывов за квартал: механика» + честная пометка про модельные расчёты (до реальных кейсов),Связка «Карты и отзывы»,
2026-11-21,18,TG-пост,Дайджест + магнит,,,Дайджест + магнит,,Итоги недели: 3 главных мысли одной строкой + лид-магнит недели «Бот-сборщик отзывов: сценарий»,Магнит в боте,
2026-11-22,18,TG-пост,Интерактив,,,Интерактив,,Опрос по теме следующей недели ИЛИ «спроси меня»: собираем боли в комментарии (топливо для контента),Комментарии,
2026-11-23,19,TG-пост,Карусель + разбор,,,Карусель + разбор,,Карусель «CRM провалилась? Дело не в программе». Подводка 3-4 строки: боль недели своими словами + личное наблюдение. Вопрос в конец: «у вас так?»,План внедрения без саботажа,
2026-11-24,19,TG-пост,Цифра дня,,,Цифра дня,,Одна цифра из research по теме недели (KT-Team) + 2 строки интерпретации «что это значит для тебя» + short дня,Переход в бот,
2026-11-25,19,TG-пост,Инструмент,,,Инструмент,,"Карусель «CRM за неделю: минимальный контур» + текстовая версия шагов списком (для тех, кто не листает)",Мини-продукт «CRM за неделю»,
2026-11-26,19,TG-пост,Разбор/закулисье,,,Разбор/закулисье,,"Мини-разбор по теме недели: скрин/пример + что не так + как надо. Формат «заметка на полях», 6-8 строк",Вопросы в комментарии,
2026-11-27,19,TG-пост,Карусель-доказательство,,,Карусель-доказательство,,Карусель «Отдел продаж до и после прозрачности» + честная пометка про модельные расчёты (до реальных кейсов),План внедрения в боте,
2026-11-28,19,TG-пост,Дайджест + магнит,,,Дайджест + магнит,,Итоги недели: 3 главных мысли одной строкой + лид-магнит недели «План внедрения CRM без саботажа»,Магнит в боте,
2026-11-29,19,TG-пост,Интерактив,,,Интерактив,,Опрос по теме следующей недели ИЛИ «спроси меня»: собираем боли в комментарии (топливо для контента),Комментарии,
2026-11-30,20,TG-пост,Карусель + разбор,,,Карусель + разбор,,Карусель «Сарафан - это канал без ручки». Подводка 3-4 строки: боль недели своими словами + личное наблюдение. Вопрос в конец: «у вас так?»,Шаблон рефпрограммы,
2026-12-01,20,TG-пост,Цифра дня,,,Цифра дня,,Одна цифра из research по теме недели (НАФИ: сарафан - главный канал МСБ) + 2 строки интерпретации «что это значит для тебя» + short дня,Переход в бот,
2026-12-02,20,TG-пост,Инструмент,,,Инструмент,,"Карусель «Реферальная программа за вечер» + текстовая версия шагов списком (для тех, кто не листает)",Шаблон + трекинг-таблица,
2026-12-03,20,TG-пост,Разбор/закулисье,,,Разбор/закулисье,,"Мини-разбор по теме недели: скрин/пример + что не так + как надо. Формат «заметка на полях», 6-8 строк",Вопросы в комментарии,
2026-12-04,20,TG-пост,Карусель-доказательство,,,Карусель-доказательство,,Карусель «Партнёрский обмен базами: как не спамить» + честная пометка про модельные расчёты (до реальных кейсов),Схема партнёрства в боте,
2026-12-05,20,TG-пост,Дайджест + магнит,,,Дайджест + магнит,,Итоги недели: 3 главных мысли одной строкой + лид-магнит недели «Реферальная программа: шаблон»,Магнит в боте,
2026-12-06,20,TG-пост,Интерактив,,,Интерактив,,Опрос по теме следующей недели ИЛИ «спроси меня»: собираем боли в комментарии (топливо для контента),Комментарии,
2026-12-07,21,TG-пост,Карусель + разбор,,,Карусель + разбор,,Карусель «Маркетолог за 100К: посчитай окупаемость». Подводка 3-4 строки: боль недели своими словами + личное наблюдение. Вопрос в конец: «у вас так?»,Калькулятор найма в боте,
2026-12-08,21,TG-пост,Цифра дня,,,Цифра дня,,Одна цифра из research по теме недели (research: зарплата 80-100К+) + 2 строки интерпретации «что это значит для тебя» + short дня,Переход в бот,
2026-12-09,21,TG-пост,Инструмент,,,Инструмент,,"Карусель «Нанять или автоматизировать: дерево решения» + текстовая версия шагов списком (для тех, кто не листает)",ТЗ на маркетолога: шаблон,
2026-12-10,21,TG-пост,Разбор/закулисье,,,Разбор/закулисье,,"Мини-разбор по теме недели: скрин/пример + что не так + как надо. Формат «заметка на полях», 6-8 строк",Вопросы в комментарии,
2026-12-11,21,TG-пост,Карусель-доказательство,,,Карусель-доказательство,,Карусель «Три найма подряд: почему не взлетело» + честная пометка про модельные расчёты (до реальных кейсов),Чек-лист «до найма» в боте,
2026-12-12,21,TG-пост,Дайджест + магнит,,,Дайджест + магнит,,Итоги недели: 3 главных мысли одной строкой + лид-магнит недели «ТЗ на маркетолога + чек знаний»,Магнит в боте,
2026-12-13,21,TG-пост,Интерактив,,,Интерактив,,Опрос по теме следующей недели ИЛИ «спроси меня»: собираем боли в комментарии (топливо для контента),Комментарии,
2026-12-14,22,TG-пост,Карусель + разбор,,,Карусель + разбор,,Карусель «Клиент спросил нейросеть. Тебя в ответе нет». Подводка 3-4 строки: боль недели своими словами + личное наблюдение. Вопрос в конец: «у вас так?»,Чек-лист AI-видимости,
2026-12-15,22,TG-пост,Цифра дня,,,Цифра дня,,Одна цифра из research по теме недели (тренд GEO [ГИПОТЕЗА]) + 2 строки интерпретации «что это значит для тебя» + short дня,Переход в бот,
2026-12-16,22,TG-пост,Инструмент,,,Инструмент,,"Карусель «GEO без бюджета: 4 шага» + текстовая версия шагов списком (для тех, кто не листает)",Чек-лист в боте,
2026-12-17,22,TG-пост,Разбор/закулисье,,,Разбор/закулисье,,"Мини-разбор по теме недели: скрин/пример + что не так + как надо. Формат «заметка на полях», 6-8 строк",Вопросы в комментарии,
2026-12-18,22,TG-пост,Карусель-доказательство,,,Карусель-доказательство,,Карусель «Статья отвечает клиентам за нас» + честная пометка про модельные расчёты (до реальных кейсов),GEO-аудит в боте,
2026-12-19,22,TG-пост,Дайджест + магнит,,,Дайджест + магнит,,Итоги недели: 3 главных мысли одной строкой + лид-магнит недели «Чек-лист «Виден ли твой бизнес в AI-поиске»»,Магнит в боте,
2026-12-20,22,TG-пост,Интерактив,,,Интерактив,,Опрос по теме следующей недели ИЛИ «спроси меня»: собираем боли в комментарии (топливо для контента),Комментарии,
2026-12-21,23,TG-пост,Карусель + разбор,,,Карусель + разбор,,"Карусель «Стоп-слова, убивающие твою рекламу». Подводка 3-4 строки: боль недели своими словами + личное наблюдение. Вопрос в конец: «у вас так?»",20 стоп-слов и замены в боте,
2026-12-22,23,TG-пост,Цифра дня,,,Цифра дня,,Одна цифра из research по теме недели (механика рынка) + 2 строки интерпретации «что это значит для тебя» + short дня,Переход в бот,
2026-12-23,23,TG-пост,Инструмент,,,Инструмент,,"Карусель «Тест оффера за 60 секунд» + текстовая версия шагов списком (для тех, кто не листает)",Формула оффера в боте,
2026-12-24,23,TG-пост,Разбор/закулисье,,,Разбор/закулисье,,"Мини-разбор по теме недели: скрин/пример + что не так + как надо. Формат «заметка на полях», 6-8 строк",Вопросы в комментарии,
2026-12-25,23,TG-пост,Карусель-доказательство,,,Карусель-доказательство,,Карусель «Один оффер - другая экономика» + честная пометка про модельные расчёты (до реальных кейсов),Пересборка оффера: шаблон,
2026-12-26,23,TG-пост,Дайджест + магнит,,,Дайджест + магнит,,Итоги недели: 3 главных мысли одной строкой + лид-магнит недели «Формула оффера + 20 стоп-слов»,Магнит в боте,
2026-12-27,23,TG-пост,Интерактив,,,Интерактив,,Опрос по теме следующей недели ИЛИ «спроси меня»: собираем боли в комментарии (топливо для контента),Комментарии,
2026-12-28,24,TG-пост,Карусель + разбор,,,Карусель + разбор,,Карусель ««Постить каждый день» - худший совет». Подводка 3-4 строки: боль недели своими словами + личное наблюдение. Вопрос в конец: «у вас так?»,Мини-гайд по контенту,
2026-12-29,24,TG-пост,Цифра дня,,,Цифра дня,,Одна цифра из research по теме недели (платформенная механика) + 2 строки интерпретации «что это значит для тебя» + short дня,Переход в бот,
2026-12-30,24,TG-пост,Инструмент,,,Инструмент,,"Карусель «Почему твой контент не сохраняют» + текстовая версия шагов списком (для тех, кто не листает)",Шаблоны сохраняемых постов,
2026-12-31,24,TG-пост,Разбор/закулисье,,,Разбор/закулисье,,"Мини-разбор по теме недели: скрин/пример + что не так + как надо. Формат «заметка на полях», 6-8 строк",Вопросы в комментарии,
2027-01-01,24,TG-пост,Карусель-доказательство,,,Карусель-доказательство,,Карусель «Один пост принёс 40 заявок: анатомия» + честная пометка про модельные расчёты (до реальных кейсов),Разбор механики в боте,
2027-01-02,24,TG-пост,Дайджест + магнит,,,Дайджест + магнит,,"Итоги недели: 3 главных мысли одной строкой + лид-магнит недели «Гайд «Контент, который продаёт» (мини)»",Магнит в боте,
2027-01-03,24,TG-пост,Интерактив,,,Интерактив,,Опрос по теме следующей недели ИЛИ «спроси меня»: собираем боли в комментарии (топливо для контента),Комментарии,
2027-01-04,25,TG-пост,Карусель + разбор,,,Карусель + разбор,,Карусель «Форма «оставьте заявку» vs квиз». Подводка 3-4 строки: боль недели своими словами + личное наблюдение. Вопрос в конец: «у вас так?»,Шаблон квиза в боте,
2027-01-05,25,TG-пост,Цифра дня,,,Цифра дня,,Одна цифра из research по теме недели (агентская практика [ГИПОТЕЗА]) + 2 строки интерпретации «что это значит для тебя» + short дня,Переход в бот,
2027-01-06,25,TG-пост,Инструмент,,,Инструмент,,"Карусель «5 вопросов идеального квиза» + текстовая версия шагов списком (для тех, кто не листает)",Шаблон под твою нишу,
2027-01-07,25,TG-пост,Разбор/закулисье,,,Разбор/закулисье,,"Мини-разбор по теме недели: скрин/пример + что не так + как надо. Формат «заметка на полях», 6-8 строк",Вопросы в комментарии,
2027-01-08,25,TG-пост,Карусель-доказательство,,,Карусель-доказательство,,Карусель «Заявки ночью: связка квиз + бот» + честная пометка про модельные расчёты (до реальных кейсов),Связка «Квиз-ловушка»,
2027-01-09,25,TG-пост,Дайджест + магнит,,,Дайджест + магнит,,Итоги недели: 3 главных мысли одной строкой + лид-магнит недели «Шаблон квиза под нишу (5 вопросов)»,Магнит в боте,
2027-01-10,25,TG-пост,Интерактив,,,Интерактив,,Опрос по теме следующей недели ИЛИ «спроси меня»: собираем боли в комментарии (топливо для контента),Комментарии,
2027-01-11,26,TG-пост,Карусель + разбор,,,Карусель + разбор,,Карусель «26 недель канала: честные цифры». Подводка 3-4 строки: боль недели своими словами + личное наблюдение. Вопрос в конец: «у вас так?»,Мега-гайд системы,
2027-01-12,26,TG-пост,Цифра дня,,,Цифра дня,,Одна цифра из research по теме недели (собственные данные канала) + 2 строки интерпретации «что это значит для тебя» + short дня,Переход в бот,
2027-01-13,26,TG-пост,Инструмент,,,Инструмент,,"Карусель «Возьми нашу систему целиком» + текстовая версия шагов списком (для тех, кто не листает)",Мега-гайд в боте,
2027-01-14,26,TG-пост,Разбор/закулисье,,,Разбор/закулисье,,"Мини-разбор по теме недели: скрин/пример + что не так + как надо. Формат «заметка на полях», 6-8 строк",Вопросы в комментарии,
2027-01-15,26,TG-пост,Карусель-доказательство,,,Карусель-доказательство,,Карусель «Ответы на 10 главных вопросов подписчиков» + честная пометка про модельные расчёты (до реальных кейсов),AI-аудит + анонс сезона 2,
2027-01-16,26,TG-пост,Дайджест + магнит,,,Дайджест + магнит,,Итоги недели: 3 главных мысли одной строкой + лид-магнит недели «Мега-гайд «Система TURBIUM» (все магниты)»,Магнит в боте,
2027-01-17,26,TG-пост,Интерактив,,,Интерактив,,Опрос по теме следующей недели ИЛИ «спроси меня»: собираем боли в комментарии (топливо для контента),Комментарии,
2026-07-21,1,GEO-статья,Цена клиента,лонгрид SEO,,Сколько стоит клиент для стоматологии в 2026: цифры и расчёт,,Прямой ответ (диапазон) в 1-м абзаце - таблица CPL по каналам с источниками - формула допустимого CAC - FAQ 5 вопросов + schema,Калькулятор юнит-экономики в боте,
2026-07-24,1,GEO-статья,Цена клиента,лонгрид SEO,,Сколько стоит клиент для салона красоты в 2026: цифры и расчёт,,Прямой ответ (диапазон) в 1-м абзаце - таблица CPL по каналам с источниками - формула допустимого CAC - FAQ 5 вопросов + schema,Калькулятор юнит-экономики в боте,
2026-07-28,2,GEO-статья,Цена клиента,лонгрид SEO,,Сколько стоит клиент для автосервиса в 2026: цифры и расчёт,,Прямой ответ (диапазон) в 1-м абзаце - таблица CPL по каналам с источниками - формула допустимого CAC - FAQ 5 вопросов + schema,Калькулятор юнит-экономики в боте,
2026-07-31,2,GEO-статья,Цена клиента,лонгрид SEO,,Сколько стоит клиент для фитнес-клуба в 2026: цифры и расчёт,,Прямой ответ (диапазон) в 1-м абзаце - таблица CPL по каналам с источниками - формула допустимого CAC - FAQ 5 вопросов + schema,Калькулятор юнит-экономики в боте,
2026-08-04,3,GEO-статья,Цена клиента,лонгрид SEO,,Сколько стоит клиент для мебели на заказ в 2026: цифры и расчёт,,Прямой ответ (диапазон) в 1-м абзаце - таблица CPL по каналам с источниками - формула допустимого CAC - FAQ 5 вопросов + schema,Калькулятор юнит-экономики в боте,
2026-08-07,3,GEO-статья,Цена клиента,лонгрид SEO,,Сколько стоит клиент для ремонта квартир в 2026: цифры и расчёт,,Прямой ответ (диапазон) в 1-м абзаце - таблица CPL по каналам с источниками - формула допустимого CAC - FAQ 5 вопросов + schema,Калькулятор юнит-экономики в боте,
2026-08-11,4,GEO-статья,Цена клиента,лонгрид SEO,,Сколько стоит клиент для юридических услуг в 2026: цифры и расчёт,,Прямой ответ (диапазон) в 1-м абзаце - таблица CPL по каналам с источниками - формула допустимого CAC - FAQ 5 вопросов + schema,Калькулятор юнит-экономики в боте,
2026-08-14,4,GEO-статья,Цена клиента,лонгрид SEO,,Сколько стоит клиент для доставки еды в 2026: цифры и расчёт,,Прямой ответ (диапазон) в 1-м абзаце - таблица CPL по каналам с источниками - формула допустимого CAC - FAQ 5 вопросов + schema,Калькулятор юнит-экономики в боте,
2026-08-18,5,GEO-статья,Цена клиента,лонгрид SEO,,Сколько стоит клиент для детского центра в 2026: цифры и расчёт,,Прямой ответ (диапазон) в 1-м абзаце - таблица CPL по каналам с источниками - формула допустимого CAC - FAQ 5 вопросов + schema,Калькулятор юнит-экономики в боте,
2026-08-21,5,GEO-статья,Цена клиента,лонгрид SEO,,Сколько стоит клиент для клининга в 2026: цифры и расчёт,,Прямой ответ (диапазон) в 1-м абзаце - таблица CPL по каналам с источниками - формула допустимого CAC - FAQ 5 вопросов + schema,Калькулятор юнит-экономики в боте,
2026-08-25,6,GEO-статья,Цена клиента,лонгрид SEO,,Сколько стоит клиент для цветочного магазина в 2026: цифры и расчёт,,Прямой ответ (диапазон) в 1-м абзаце - таблица CPL по каналам с источниками - формула допустимого CAC - FAQ 5 вопросов + schema,Калькулятор юнит-экономики в боте,
2026-08-28,6,GEO-статья,Цена клиента,лонгрид SEO,,Сколько стоит клиент для стройматериалов в 2026: цифры и расчёт,,Прямой ответ (диапазон) в 1-м абзаце - таблица CPL по каналам с источниками - формула допустимого CAC - FAQ 5 вопросов + schema,Калькулятор юнит-экономики в боте,
2026-09-01,7,GEO-статья,Инструменты,лонгрид SEO,,CRM для малого бизнеса: как выбрать и не бросить через месяц,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-09-04,7,GEO-статья,Инструменты,лонгрид SEO,,Сквозная аналитика для МСБ без бюджета: минимальный контур,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-09-08,8,GEO-статья,Инструменты,лонгрид SEO,,152-ФЗ для малого бизнеса простыми словами: чек-лист 2026,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-09-11,8,GEO-статья,Инструменты,лонгрид SEO,,Какие AI можно использовать с клиентской базой в России,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-09-15,9,GEO-статья,Инструменты,лонгрид SEO,,Телеграм-канал для бизнеса: пошаговый запуск 2026,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-09-18,9,GEO-статья,Инструменты,лонгрид SEO,,Квиз-лендинг: как собрать за выходные и не слить трафик,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-09-22,10,GEO-статья,Инструменты,лонгрид SEO,,Реанимация клиентской базы: пошаговая инструкция,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-09-25,10,GEO-статья,Инструменты,лонгрид SEO,,"Яндекс Карты и 2ГИС для бизнеса: карточка, которая продаёт",,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-09-29,11,GEO-статья,Инструменты,лонгрид SEO,,Как проверить маркетинговое агентство: гайд собственника,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-10-02,11,GEO-статья,Инструменты,лонгрид SEO,,Реферальная программа для малого бизнеса: шаблоны и примеры,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-10-06,12,GEO-статья,Инструменты,лонгрид SEO,,Маркетинговый бюджет малого бизнеса: сколько тратить в 2026,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-10-09,12,GEO-статья,Инструменты,лонгрид SEO,,AI-чатбот для бизнеса: реальная цена и сроки в России,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-10-13,13,GEO-статья,Инструменты,лонгрид SEO,,Как малому бизнесу попасть в ответы нейросетей (GEO) в 2026,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-10-16,13,GEO-статья,Инструменты,лонгрид SEO,,Воронка продаж для услуг: устройство на пальцах,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-10-20,14,GEO-статья,Инструменты,лонгрид SEO,,Стоимость лида по каналам в России 2026: сводные данные,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-10-23,14,GEO-статья,Инструменты,лонгрид SEO,,Как уйти с маркетплейса в свой канал продаж: план,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-10-27,15,GEO-статья,Инструменты,лонгрид SEO,,Юнит-экономика для собственника: считаем без финдира,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-10-30,15,GEO-статья,Инструменты,лонгрид SEO,,"Отзывы клиентов: система сбора, которая работает сама",,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-11-03,16,GEO-статья,Инструменты,лонгрид SEO,,Оффер для рекламы: формула и 20 стоп-слов,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-11-06,16,GEO-статья,Инструменты,лонгрид SEO,,Автоматизация продаж малого бизнеса: что внедрять первым,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-11-10,17,GEO-статья,Инструменты,лонгрид SEO,,Контент-план для бизнеса: как составить на месяц за час,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-11-13,17,GEO-статья,Инструменты,лонгрид SEO,,Сезонность в бизнесе: как готовить кассу заранее,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-11-17,18,GEO-статья,Инструменты,лонгрид SEO,,Скрипт первого ответа клиенту: примеры по нишам,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-11-20,18,GEO-статья,Инструменты,лонгрид SEO,,"Найм маркетолога: ТЗ, вопросы, красные флаги",,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-11-24,19,GEO-статья,Инструменты,лонгрид SEO,,Партнёрский маркетинг для локального бизнеса: механики,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-11-27,19,GEO-статья,Инструменты,лонгрид SEO,,Ретаргетинг без бюджета: как возвращать посетителей,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-12-01,20,GEO-статья,Инструменты,лонгрид SEO,,Телефония и мессенджеры: куда принимать заявки в 2026,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-12-04,20,GEO-статья,Инструменты,лонгрид SEO,,Как посчитать LTV без Excel-магии: калькулятор,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-12-08,21,GEO-статья,Инструменты,лонгрид SEO,,Продвижение без бюджета: 7 работающих механик 2026,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-12-11,21,GEO-статья,Инструменты,лонгрид SEO,,Ошибки в рекламе Яндекс Директ: чек-лист самопроверки,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-12-15,22,GEO-статья,Инструменты,лонгрид SEO,,Мини-продукты как вход в услуги: механика трипваера,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-12-18,22,GEO-статья,Инструменты,лонгрид SEO,,Прогрев в Телеграме: серия из 7 касаний с примерами,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-12-22,23,GEO-статья,Инструменты,лонгрид SEO,,"Дашборд собственника: 3 цифры, которые надо видеть ежедневно",,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
2026-12-25,23,GEO-статья,Инструменты,лонгрид SEO,,Как отвечать на негативные отзывы: скрипты без оправданий,,Прямой ответ в 1-м абзаце - шаги/сравнение таблицей - типовые ошибки - FAQ 5 вопросов + schema FAQPage - внутренние ссылки на 2 соседние статьи,AI-аудит + магнит по теме,
